section,model_alias,model_label,decision_owner,L,n_questions,n_wrong,budget_fraction,raw_confidence_error_catch,calibrated_error_catch,hidden_verify_rate,hidden_error_catch
raw_q_catch_curve,anthropic_sonnet5,Claude,human,10.0,500,129,0.7,0.9018087855297158,0.8569901095963646,0.544,0.8682170542635659
raw_q_catch_curve,anthropic_sonnet5,Claude,human,10.0,500,129,0.8,0.9706938929854415,0.9457364341085271,0.544,0.8682170542635659
raw_q_catch_curve,anthropic_sonnet5,Claude,human,10.0,500,129,0.9,0.9953080375356997,0.9922480620155039,0.544,0.8682170542635659
raw_q_catch_curve,anthropic_sonnet5,Claude,human,10.0,500,129,1.0,1.0,1.0,0.544,0.8682170542635659
raw_q_catch_curve,anthropic_sonnet5,Claude,human,20.0,500,129,0.1,0.24335548172757474,0.21963824289405687,0.598,0.8914728682170543
raw_q_catch_curve,anthropic_sonnet5,Claude,human,20.0,500,129,0.2,0.39018087855297157,0.3333333333333333,0.598,0.8914728682170543
raw_q_catch_curve,anthropic_sonnet5,Claude,human,20.0,500,129,0.3,0.528324388789505,0.4844961240310077,0.598,0.8914728682170543
raw_q_catch_curve,anthropic_sonnet5,Claude,human,20.0,500,129,0.4,0.6400555362721277,0.6118863049095608,0.598,0.8914728682170543
raw_q_catch_curve,anthropic_sonnet5,Claude,human,20.0,500,129,0.5,0.7378435517970402,0.7100477042337507,0.598,0.8914728682170543
raw_q_catch_curve,anthropic_sonnet5,Claude,human,20.0,500,129,0.6,0.8204612881615466,0.7879291251384274,0.598,0.8914728682170543
raw_q_catch_curve,anthropic_sonnet5,Claude,human,20.0,500,129,0.7,0.9018087855297158,0.8569901095963646,0.598,0.8914728682170543
raw_q_catch_curve,anthropic_sonnet5,Claude,human,20.0,500,129,0.8,0.9706938929854415,0.9457364341085271,0.598,0.8914728682170543
raw_q_catch_curve,anthropic_sonnet5,Claude,human,20.0,500,129,0.9,0.9953080375356997,0.9922480620155039,0.598,0.8914728682170543
raw_q_catch_curve,anthropic_sonnet5,Claude,human,20.0,500,129,1.0,1.0,1.0,0.598,0.8914728682170543
